task_lang,transfer_lang,accuracy,f1_score,transfer_language,genetic,geographic
agar1252,urdu1245,0.2072072072072072,0.1021247662757096,urd,1.0,0.3402
amar1273,urdu1245,0.1481481481481481,0.1087271179225202,urd,1.0,0.2798
achi1256,urdu1245,0.1981981981981982,0.1266300856944132,urd,1.0,0.4784
ango1254,urdu1245,0.1711711711711711,0.05003465003465,urd,1.0,0.3219
agua1253,urdu1245,0.1711711711711711,0.0504225155387946,urd,1.0,0.4901
anga1290,urdu1245,0.1711711711711711,0.05003465003465,urd,1.0,0.3429
inab1237,urdu1245,0.1891891891891892,0.0978649103649103,urd,1.0,0.2394
ambu1247,urdu1245,0.1636363636363636,0.0497454545454545,urd,1.0,0.3278
anka1246,urdu1245,0.1711711711711711,0.05003465003465,urd,1.0,0.3412
east2379,urdu1245,0.1636363636363636,0.04638511095204,urd,1.0,0.3369
anka1246,swed1254,0.1711711711711711,0.0934620334620334,swe,1.0,0.4353
achu1248,swed1254,0.2727272727272727,0.1422449687716863,swe,1.0,0.3795
agua1252,swed1254,0.3090909090909091,0.2030387088639516,swe,1.0,0.351
abau1245,swed1254,0.2702702702702703,0.1827609292919191,swe,1.0,0.4228
ambu1247,swed1254,0.2545454545454545,0.1220557851239669,swe,1.0,0.4244
agua1253,swed1254,0.2882882882882883,0.1603304797334648,swe,1.0,0.387
cent2084,swed1254,0.2962962962962963,0.1867415125866131,swe,1.0,0.3368
anga1290,swed1254,0.2342342342342342,0.1329683679483412,swe,1.0,0.4359
agut1237,swed1254,0.3063063063063063,0.2179791127159548,swe,1.0,0.3548
achi1256,swed1254,0.2972972972972973,0.2198964629949585,swe,1.0,0.3503
agar1252,swed1254,0.2882882882882883,0.1652234568265102,swe,1.0,0.4333
arif1239,swed1254,0.3243243243243243,0.2120016055659619,swe,1.0,0.4433
east2379,swed1254,0.3181818181818182,0.2235295210665676,swe,1.0,0.4569
anem1248,swed1254,0.2952380952380952,0.1970238095238095,swe,1.0,0.4438
inab1237,swed1254,0.3063063063063063,0.2097440182117601,swe,1.0,0.3564
amel1241,swed1254,0.2990654205607476,0.1791979639224241,swe,1.0,0.4309
ango1254,swed1254,0.2792792792792792,0.1558558558558558,swe,1.0,0.4221
sain1246,swed1254,0.3153153153153153,0.2063983488132094,swe,0.9247999787330627,0.2999
