task_lang,transfer_lang,accuracy,f1_score,transfer_language,genetic,geographic
sout2844,stan1293,0.1801801801801801,0.1289372683179205,eng,1.0,0.179
norw1259,stan1293,0.4909090909090909,0.4624589359654295,eng,0.9687,0.0429
niii1240,stan1293,0.1296296296296296,0.0864767897554782,eng,1.0,0.4596
ngin1244,stan1293,0.2432432432432432,0.1791901791901791,eng,1.0,0.2996
isan1243,stan1293,0.2612612612612612,0.1973014376452748,eng,1.0,0.2754
male1284,stan1293,0.1711711711711711,0.05003465003465,eng,1.0,0.2442
texm1235,stan1293,0.2072072072072072,0.1483342841426532,eng,1.0,0.333
west2721,stan1293,0.2162162162162162,0.1808859687704049,eng,1.0,0.2336
muya1243,stan1293,0.1531531531531531,0.0838384183534038,eng,1.0,0.1939
soch1239,stan1293,0.1531531531531531,0.0578032578032578,eng,1.0,0.3285
kama1367,stan1293,0.2432432432432432,0.2098562424649381,eng,1.0,0.4552
vwan1235,stan1293,0.1891891891891892,0.1333387809578285,eng,1.0,0.2916
bedj1245,stan1293,0.1441441441441441,0.0768316890681504,eng,1.0,0.2059
akaw1239,stan1293,0.1621621621621621,0.0921836121836121,eng,1.0,0.2858
lamb1276,stan1293,0.1909090909090909,0.1206255271553779,eng,1.0,0.3582
sanm1301,stan1293,0.2972972972972973,0.2651550554822248,eng,1.0,0.3279
algo1255,stan1293,0.1891891891891892,0.1281228036547185,eng,1.0,0.2066
atam1240,stan1293,0.2792792792792792,0.2111349884484212,eng,1.0,0.4076
idun1242,stan1293,0.209090909090909,0.1372201528731618,eng,1.0,0.4712
kara1486,stan1293,0.2252252252252252,0.1648555701615179,eng,1.0,0.4591
mend1268,stan1293,0.2792792792792792,0.222442638389165,eng,1.0,0.4537
plat1254,stan1293,0.2072072072072072,0.1229567133978898,eng,1.0,0.3437
yala1267,stan1293,0.2072072072072072,0.1305633266029305,eng,1.0,0.3293
nopa1235,stan1293,0.2162162162162162,0.1307652480066273,eng,1.0,0.3342
nort2959,stan1293,0.1574074074074074,0.0993558677520941,eng,1.0,0.3254
cajo1238,stan1293,0.1621621621621621,0.0942757948368046,eng,1.0,0.3297
zaiw1241,stan1293,0.1531531531531531,0.1158469945355191,eng,1.0,0.3184
woun1238,stan1293,0.1636363636363636,0.1198151370160939,eng,1.0,0.3209
dani1285,stan1293,0.2972972972972973,0.2623744133416126,eng,0.7322999835014343,0.0292
lati1261,stan1293,0.3963963963963964,0.3872014520812313,eng,0.904699981212616,0.0653
cofa1242,stan1293,0.2342342342342342,0.1831760331760331,eng,0.9687,0.3362
high1243,stan1293,0.1891891891891892,0.0898425571485728,eng,1.0,0.3235
sara1327,stan1293,0.2432432432432432,0.2086210070321291,eng,1.0,0.4123
siri1274,stan1293,0.1891891891891892,0.1326376686283807,eng,1.0,0.3219
subi1246,stan1293,0.2432432432432432,0.1870229202008016,eng,1.0,0.3105
tung1290,stan1293,0.2702702702702703,0.2271620718829665,eng,1.0,0.4579
tibe1272,stan1293,0.1711711711711711,0.05003465003465,eng,1.0,0.2901
ixil1251,stan1293,0.1441441441441441,0.0507173840507173,eng,1.0,0.3233
buam1238,stan1293,0.09009009009009,0.0705476334148484,eng,1.0,0.1855
lewo1242,stan1293,0.2252252252252252,0.1548517334575601,eng,1.0,0.4929
gunw1252,stan1293,0.3486238532110092,0.2931750132466176,eng,1.0,0.4608
chay1249,stan1293,0.2522522522522522,0.1942000755161742,eng,1.0,0.3349
yaka1277,stan1293,0.3333333333333333,0.299293902197128,eng,1.0,0.4048
