task_lang,transfer_lang,accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,genetic,syntactic,featural,phonological,inventory,geographic,morphological,hyper_genetic,scriptural,islands
lao,deu,0.05,12,42,0.0,10000,521,19.19385796545105,1.0,0.6131,0.5342,0.4638,0.4988,0.3292,,3.227,0.6185,0.0926566131275014
lao,fas,0.04,32,22,0.0,10000,521,19.19385796545105,1.0,0.6423,0.6062,0.4638,0.4996,0.2067,0.8989,3.06,,0.1063730320098768
lao,fra,0.03,47,7,0.0,10000,521,19.19385796545105,1.0,0.6176,0.588,0.3918,0.4973,0.3523,1.0,3.164,0.6185,0.10844236422925568
lao,hau,0.05,12,42,0.0095969289827255,1071,521,2.055662188099808,1.0,0.481,0.5283,0.3824,0.5336,0.3719,0.8136,3.111,0.5893,0.08698269988239393
lao,hin,0.07,2,52,0.0,10000,521,19.19385796545105,1.0,0.6111,0.592,0.3918,0.5399,0.1228,1.0,3.191,0.5126,0.1273148729318192
lao,hun,0.05,12,42,0.0,10000,521,19.19385796545105,1.0,0.6538,0.6048,0.3824,0.4928,0.3136,0.8989,3.115,0.6185,0.11283950014052668
lao,ilo,0.05,12,42,0.0019193857965451,3549,521,6.811900191938579,1.0,0.6927,0.5554,0.0,0.3532,0.0718,0.8963,3.219,0.6185,0.09265477103153352
lao,ind,0.06,5,49,0.0,10000,521,19.19385796545105,1.0,0.4345,0.4307,0.2163,0.3987,0.1083,0.7699,3.225,0.5893,0.04400430619404827
lao,ita,0.06,5,49,0.0,10000,521,19.19385796545105,1.0,0.5527,0.5515,0.3217,0.441,0.333,1.0,3.152,0.6185,0.08926744054010993
lao,jav,0.04,32,22,0.0076775431861804,9243,521,17.740882917466408,1.0,0.5106,0.4566,0.2163,0.4208,0.0808,0.7532,3.035,0.6185,0.046859439836427264
lao,kaz,0.03,47,7,0.0,10000,521,19.19385796545105,1.0,0.3918,0.3333,0.0,,0.1862,,3.137,0.5893,0.08173340882639812
lao,kin,0.03,47,7,0.0038387715930902,864,521,1.6583493282149713,1.0,0.6774,0.5354,0.5319,0.4772,0.3171,,3.186,0.6185,0.08725624305147872
lao,kir,0.04,32,22,0.0019193857965451,10000,521,19.19385796545105,1.0,0.6506,0.5988,0.4638,0.6088,0.1643,,3.18,0.5893,0.11631367085453914
lao,kur,0.05,12,42,0.0115163147792706,4006,521,7.689059500959692,1.0,0.6383,0.5722,0.3918,0.5721,0.2406,,3.05,0.5893,0.10917463238357927
lao,mar,0.06,5,49,0.0,10000,521,19.19385796545105,1.0,0.7265,0.6291,0.2301,0.4997,0.1205,1.0,3.207,0.4685,0.13314588779226866
lao,mlt,0.04,32,22,0.0038387715930902,1390,521,2.6679462571976966,1.0,0.6654,0.6152,0.3824,0.4617,0.3339,1.0,3.145,0.6185,0.1038820363736872
lao,mya,0.03,47,7,0.0057581573896353,3282,521,6.299424184261037,1.0,0.6583,0.5711,0.2952,0.4425,0.0507,1.0,3.191,0.0,0.10244773204282476
lao,msa,0.06,5,49,0.0,10000,521,19.19385796545105,1.0,0.5327,0.5172,0.3217,0.4508,0.0606,0.8691,3.297,,0.05418905404864838
lao,nld,0.04,32,22,0.0038387715930902,10000,521,19.19385796545105,1.0,0.6144,0.5646,0.3498,0.4711,0.342,1.0,3.117,0.6185,0.09229555221345342
lao,nya,0.05,12,42,0.0115163147792706,237,521,0.4548944337811901,1.0,0.5477,0.5477,,,0.3217,,3.176,0.6185,0.06635066307710558
lao,orm,0.04,32,22,0.0019193857965451,265,521,0.508637236084453,1.0,0.6393,0.4964,0.3824,0.4306,0.2654,,3.201,0.6185,0.09393575372792273
