task_lang,transfer_lang,accuracy,f1_score,transfer_language,genetic,geographic,syntactic,phonological,inventory,featural,hyper_genetic,scriptural,islands
taga1272,stan1293,0.2972972972972973,0.2697804113763816,eng,1.0,0.6,0.57,0.5687,0.5983,0.6,3.2366145,0.1864,0.19765133716599625
labe1239,stan1293,0.1801801801801801,0.0967469854592271,eng,1.0,0.7,0.57,0.5687,0.5983,0.6,3.2486444,0.1864,0.206706095610667
uigh1240,stan1293,0.2181818181818181,0.171642397034631,eng,1.0,0.3,0.75,0.8886,0.5983,0.8,3.0678906,0.4161,0.20384965214486284
bugh1239,stan1293,0.1981981981981982,0.1631601574930126,eng,1.0,0.7,0.57,0.5687,0.5983,0.6,3.1572835,0.1864,0.18752455458466843
sout2844,stan1293,0.1801801801801801,0.1289372683179205,eng,1.0,0.2,0.57,0.5687,0.5119,0.7,3.170757,0.1864,0.19702494390387582
norw1259,stan1293,0.4909090909090909,0.4624589359654295,eng,0.9687,0.1,0.52,0.4477,0.4769,0.5,3.0657144,0.1864,0.15829193588299917
niii1240,stan1293,0.1296296296296296,0.0864767897554782,eng,1.0,0.7,0.9,0.5687,0.5983,0.9,3.1778646,0.1864,0.2511566995246757
ngin1244,stan1293,0.2432432432432432,0.1791901791901791,eng,1.0,0.4,0.57,0.5687,0.5983,0.6,3.266766,0.1864,0.24906870872769182
isan1243,stan1293,0.2612612612612612,0.1973014376452748,eng,1.0,0.4,0.57,0.5687,0.5983,0.6,3.2468333,0.1864,0.24906870872769182
male1284,stan1293,0.1711711711711711,0.05003465003465,eng,1.0,0.3,0.9,0.5687,0.5983,0.9,3.1684518,0.3548,0.19809956414730134
texm1235,stan1293,0.2072072072072072,0.1483342841426532,eng,1.0,0.4,0.9,1.0,0.5983,0.9,3.2438107,0.1864,0.2528292455002171
west2721,stan1293,0.2162162162162162,0.1808859687704049,eng,1.0,0.3,0.91,0.5687,0.5983,0.9,3.1438644,,0.24613955770675067
muya1243,stan1293,0.1531531531531531,0.0838384183534038,eng,1.0,0.2,0.68,0.5687,0.5166,0.6,3.246572,0.1864,0.196404351018717
soch1239,stan1293,0.1531531531531531,0.0578032578032578,eng,1.0,0.4,0.9,0.8886,0.5804,0.7,3.2472148,0.1864,0.19430732826599517
