task_lang,transfer_lang,accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,genetic,syntactic,featural,phonological,inventory,geographic,morphological,hyper_genetic,scriptural,islands
nor,ind,52.98,22,8,0.127477667,5036,3450,1.4597101449275365,0.197096308,0.206890882,0.0022412401887895,1.0,0.5558,0.5209,0.39,0.5251,0.3987,,3.248,0.4161,0.09381637336634063
nor,dan,68.94,3,27,0.528069566,4947,3450,1.4339130434782608,0.203165045,0.206890882,0.0003243134799531,0.4286,0.2109,0.2109,,,0.0236,,2.896,0.0,0.08404393818104372
nor,swe,72.67,1,29,0.34269899,4807,3450,1.393333333333333,0.193727962,0.206890882,0.0040478254952898,0.4286,0.2455,0.4042,0.2163,0.4852,0.017,,2.844,0.0,0.07183901608612309
nor,zho,39.73,25,5,0.103856483,4497,3450,1.3034782608695652,0.178585916,0.206890882,0.0187172729219721,1.0,0.501,0.5415,0.4034,0.5859,0.2709,,3.11,0.5126,0.11948692204095701
spa,ces,58.28,17,13,0.18863457,114304,2147,53.23893805309734,0.091965586,0.1929523189999999,0.2739230888614469,0.8571,0.4891,0.5087,0.4078,0.5431,0.0675,,3.002,0.0,0.08576096441213876
spa,rus,63.84,10,20,0.128603928,55398,2147,25.802515137401024,0.123916395,0.1929523189999999,0.1280118809368482,0.8,0.4239,0.4642,0.3613,0.5273,0.2163,,2.973,0.3498,0.0653983730741522
spa,nor,64.74,8,22,0.221536128,34170,2147,15.91523055426176,0.106159434,0.1929523189999999,0.2023337096683337,0.8333,0.439,0.5725,0.5348,0.6445,0.0942,,3.06,0.1864,0.08792677122143433
spa,kor,21.31,29,1,0.114226906,30426,2147,14.17140195621798,0.294432976,0.1929523189999999,0.2766091457636196,1.0,0.6615,0.5967,0.5064,0.5505,0.3622,,3.01,0.2566,0.11010686618132348
spa,est,42.41,25,5,0.138585821,23460,2147,10.926874708896134,0.221928097,0.1929523189999999,0.0225512285370057,1.0,0.5037,0.5037,,,0.1129,,3.14,,0.05593577490257973
spa,pol,45.23,24,6,0.1173220669999999,22646,2147,10.547741034000932,0.223329008,0.1929523189999999,0.0247845401056441,0.8333,0.4437,0.45,0.3433,0.4801,0.0807,,3.094,0.0,0.10860078906956672
