Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHICAL,Unnamed: 18,GEOGRAPHIC
spa,zho,35.92,26,4,0.1058699719999999,4497,2147,2.094550535631113,0.178585916,0.1929523189999999,0.0055436535949045,1.0,0.5973,0.6244,0.4835,0.5941,1.0,0.4762,0.3363
kor,ces,14.61,16,14,0.125440152,114304,3276,34.89133089133089,0.091965586,0.465899158,0.6441767784799476,1.0,0.6705,0.639,0.6123,0.6216,0.4141,0.4388,0.3125
kor,rus,15.6,9,21,0.117398796,55398,3276,16.91025641025641,0.123916395,0.465899158,0.5387962724482416,1.0,0.5883,0.6162,0.6123,0.6511,0.2272,0.4218,0.1814
kor,nor,15.32,11,19,0.117373823,34170,3276,10.43040293040293,0.106159434,0.465899158,0.5962013335595927,1.0,0.5935,0.5642,0.4576,0.4982,0.3892,0.4796,0.2963
kor,spa,12.19,24,6,0.124441226,31546,3276,9.629426129426127,0.0791871859999999,0.465899158,0.6889558364492705,1.0,0.6751,0.621,0.5609,0.5505,0.4956,0.3925,0.3622
kor,est,16.17,7,23,0.1167744669999999,23460,3276,7.1611721611721615,0.221928097,0.465899158,0.2742159918986014,0.9896,0.6237,0.557,0.5609,0.4528,0.3622,0.4041,0.2754
kor,pol,14.86,15,15,0.103438803,22646,3276,6.912698412698413,0.223329008,0.465899158,0.2710758713127536,1.0,0.5835,0.5871,0.5096,0.5633,0.3976,0.2833,0.3018
kor,nld,14.58,17,13,0.11924681,19452,3276,5.937728937728938,0.133302703,0.465899158,0.509625770154501,1.0,0.6318,0.592,0.432,0.5145,0.4315,0.3405,0.3235
kor,por,13.76,21,9,0.123916789,19763,3276,6.032661782661783,0.095460698,0.465899158,0.6321909711218328,1.0,0.6111,0.5982,0.5335,0.5185,0.4962,0.4298,0.3625
kor,lat,13.92,20,10,0.000249732,17140,3276,5.231990231990232,0.158874645,0.465899158,0.434272422356117,1.0,0.5876,0.5619,0.427,0.507,0.4515,0.1005,0.3358
