,Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
169,mar,hau,0.17,22,32,0.0,1071,10000,0.1071,1.0,0.4834,0.5337,0.7521,0.5354,0.38167829695559274
170,mar,hin,0.56,1,53,0.054,10000,10000,1.0,0.6936,0.3091,0.3465,0.7028,0.3826,0.0015796588506502807
171,mar,hun,0.21,14,40,0.0,10000,10000,1.0,1.0,0.3314,0.3632,0.6224,0.4643,0.2972925221335251
172,mar,ilo,0.15,27,27,0.0004,3549,10000,0.3549,1.0,0.5015,0.4913,0.14,0.4324,0.24151077211255426
173,mar,ind,0.27,5,49,0.0,10000,10000,1.0,1.0,0.4786,0.4947,0.6754,0.4443,0.24673639376725431
174,mar,ita,0.23,8,46,0.0,10000,10000,1.0,0.9131,0.3154,0.3495,0.14,0.4954,0.3414973370200617
175,mar,jav,0.21,14,40,0.0,9243,10000,0.9243,1.0,0.511,0.5066,0.3951,0.3894,0.24713485440125432
176,mar,kaz,0.11,39,15,0.0,10000,10000,1.0,1.0,0.5771,0.737,0.8123,1.3062,0.15005131064386243
177,mar,kin,0.07,46,8,0.0,864,10000,0.0864,1.0,0.5694,0.5977,0.366,0.5229,0.30254227220299074
178,mar,kir,0.22,10,44,0.0,10000,10000,1.0,1.0,0.5357,0.5878,0.6571,0.5673,0.11132148556761796
179,mar,kur,0.24,6,48,0.0,4006,10000,0.4006,0.7837,0.5283,0.5815,0.6293,0.5515,0.2184752816171288
180,mar,lao,0.01,53,1,0.0,521,10000,0.0521,1.0,0.4382,0.4543,0.14,0.4723,0.14578898025108042
181,mar,mlt,0.06,47,7,0.0,1390,10000,0.139,1.0,0.423,0.4283,0.2446,0.5108,0.3281833154630128
182,mar,mya,0.03,49,5,0.0,3282,10000,0.3282,1.0,0.3425,0.3759,0.7594,0.4252,0.08826615052473391
183,mar,msa,0.2,17,37,0.0,10000,10000,1.0,1.0,0.3816,0.3969,0.2446,0.5027,0.20715283144338484
184,mar,nld,0.14,31,23,0.0,10000,10000,1.0,0.9131,0.324,0.3473,0.2677,0.5349,0.35518110161269606
185,mar,nya,0.04,48,6,0.0,237,10000,0.0237,1.0,0.5564,0.7317,0.8425,1.3062,0.3261343150212957
186,mar,orm,0.11,39,15,0.0,265,10000,0.0265,1.0,0.5129,0.5693,0.7521,0.4474,0.2277882408847439
187,mar,pan,0.36,4,50,0.0,7902,10000,0.7902,0.6667,0.2747,0.2849,0.195,0.338,0.016592494138414193
188,mar,pol,0.15,27,27,0.0,10000,10000,1.0,0.8831,0.2854,0.3514,0.5641,0.5165,0.306685299104146
189,mar,por,0.13,34,20,0.0,10000,10000,1.0,0.9214,0.3195,0.3504,0.195,0.4485,0.7057039825978862
190,mar,ron,0.17,22,32,0.0002,10000,10000,1.0,0.9078,0.5075,0.555,0.4717,0.4491,0.2755065779407257
191,mar,rus,0.03,49,5,0.0,10000,10000,1.0,0.8691,0.3331,0.3844,0.6385,0.5662,0.22774363748489226
192,mar,sna,0.13,34,20,0.0,592,10000,0.0592,1.0,0.3616,0.3987,0.3071,0.5353,0.35610620633059625
193,mar,som,0.09,44,10,0.0,1246,10000,0.1246,1.0,0.4491,0.4725,0.6945,0.4302,0.2221684965458147
194,mar,spa,0.2,17,37,0.0,10000,10000,1.0,0.9248,0.5568,0.6049,0.7993,0.5183,0.7012106604727497
195,mar,swa,0.18,20,34,0.0005,10000,10000,1.0,1.0,0.3811,0.4251,0.7048,0.5193,0.2821921424069193
196,mar,swe,0.16,24,30,0.0,10000,10000,1.0,0.8934,0.3744,0.3966,0.2786,0.5086,0.3173374119454079
197,mar,tam,0.22,10,44,0.0,10000,10000,1.0,1.0,0.2832,0.2883,0.2352,0.3508,0.013078725928624505
198,mar,tel,0.38,2,52,0.0,5991,10000,0.5991,1.0,0.3421,0.3851,0.5931,0.3411,0.0013257548299149054
199,mar,tgk,0.15,27,27,0.0,10000,10000,1.0,0.8245,0.5232,0.7151,0.8425,1.3062,0.1040808833126847
200,mar,tgl,0.16,24,30,0.0001,10000,10000,1.0,1.0,0.4736,0.4888,0.6943,0.429,0.2643588478644899
